project_sk,project_id,project_code,project_name,property_id,project_type,region,country,project_status,project_manager_id,customer_id,start_date,planned_end_date,actual_end_date,contract_value_eur,currency,source_system,effective_from,effective_to,is_current,source_updated_at
1,PRJ-1001,BER-RES-001,Spree Living Residences,PROP-201,Residential,Berlin,DE,Planning,EMP-100,CUST-301,2024-01-15,2025-12-31,,18500000,EUR,ERP_PROJECTS,2024-01-15,2024-08-31,N,2024-08-31T18:00:00
2,PRJ-1001,BER-RES-001,Spree Living Residences,PROP-201,Residential,Berlin,DE,Execution,EMP-102,CUST-301,2024-01-15,2026-03-31,,18500000,EUR,ERP_PROJECTS,2024-09-01,9999-12-31,Y,2024-09-01T08:30:00
3,PRJ-1002,HAM-OFF-003,Hafenblick Offices,PROP-202,Commercial,Hamburg,DE,Execution,EMP-101,CUST-302,2023-11-01,2025-09-30,,26750000,EUR,ERP_PROJECTS,2023-11-01,9999-12-31,Y,2025-01-05T09:15:00
4,PRJ-1003,MUC-MIX-002,Isar Quartier Phase 1,PROP-203,Mixed Use,Munich,DE,Execution,EMP-103,CUST-303,2024-03-01,2026-06-30,,41200000,EUR,ERP_PROJECTS,2024-03-01,9999-12-31,Y,2025-02-12T10:00:00
5,PRJ-1004,FRA-LOG-001,Rhein Logistics Hub,PROP-204,Logistics,Frankfurt,DE,On Hold,EMP-104,CUST-304,2024-05-10,2025-11-30,,22100000,EUR,ERP_PROJECTS,2024-05-10,2024-12-31,N,2024-12-31T17:40:00
6,PRJ-1004,FRA-LOG-001,Rhein Logistics Hub,PROP-204,Logistics,Frankfurt,DE,Execution,EMP-104,CUST-304,2024-05-10,2026-02-28,,22100000,EUR,ERP_PROJECTS,2025-01-01,9999-12-31,Y,2025-01-02T08:05:00
7,PRJ-1005,CGN-REN-007,Cologne Riverside Refurbishment,PROP-205,Refurbishment,Cologne,DE,Completed,EMP-105,CUST-305,2023-02-15,2024-06-30,2024-07-18,9800000,EUR,ERP_PROJECTS,2023-02-15,9999-12-31,Y,2024-07-20T13:22:00
8,PRJ-1006,STU-RES-004,Neckar Family Homes,PROP-206,Residential,Stuttgart,DE,Execution,EMP-106,CUST-306,2024-06-03,2026-01-31,,15700000,EUR,ERP_PROJECTS,2024-06-03,9999-12-31,Y,2025-01-18T11:11:00
9,PRJ-1007,DUS-HOT-002,Rivergate Hotel Expansion,PROP-207,Hospitality,Duesseldorf,DE,Planning,EMP-107,CUST-307,2025-01-20,2026-10-31,,19300000,EUR,ERP_PROJECTS,2025-01-20,9999-12-31,Y,2025-01-21T09:45:00
10,PRJ-1008,LEI-RET-005,Leipzig Retail Park,PROP-208,Retail,Leipzig,DE,Cancelled,EMP-108,CUST-308,2024-02-12,2025-08-31,,12450000,EUR,ERP_PROJECTS,2024-02-12,9999-12-31,Y,2024-10-10T15:00:00
11,PRJ-1009,NUR-IND-006,Nuremberg Industrial Campus,PROP-209,Industrial,Nuremberg,DE,Execution,EMP-109,CUST-309,2024-04-08,2026-05-31,,33500000,EUR,ERP_PROJECTS,2024-04-08,9999-12-31,Y,2025-02-03T14:18:00
12,PRJ-1010,BER-OFF-008,Tech Square Offices,PROP-210,Commercial,Berlin,DE,Execution,EMP-110,CUST-310,2024-09-01,2026-07-31,,28900000,EUR,ERP_PROJECTS,2024-09-01,9999-12-31,Y,2025-02-14T16:05:00
13,PRJ-1011,BRE-LOG-002,Bremen Port Warehouse,PROP-211,Logistics,Bremen,DE,Execution,EMP-111,CUST-311,2024-07-15,2025-12-15,,17400000,EUR,ERP_PROJECTS,2024-07-15,9999-12-31,Y,2025-01-27T08:50:00
14,PRJ-1012,MUC-RES-010,Green Courtyard Homes,PROP-212,Residential,Munich,DE,Planning,,CUST-312,2025-02-10,2027-03-31,,20800000,EUR,ERP_PROJECTS,2025-02-10,9999-12-31,Y,2025-02-10T07:55:00
15,PRJ-1013,FRA-MIX-009,Main Riverside Quarter,PROP-213,Mixed Use,Frankfurt,DE,Execution,EMP-103,CUST-313,2024-08-19,2026-09-30,2026-08-15,45800000,EUR,ERP_PROJECTS,2024-08-19,9999-12-31,Y,2026-08-20T12:05:00
